id,specific_event,abstract_event,trigger
891,导致家中两位老人死亡,状态变化,死亡
892,女主人跟小女儿受伤,状态变化,受伤
893,根据警方调查,操作,调查
894,导致手机充电器爆炸,紧急情况,爆炸
895,昨日凌晨2时30分记者赶到南村路事故现场,移动,赶到
896,大火消防员扑灭,状态变化,扑灭
897,由于险情排除,操作,排除
898,大批受影响的居民回家,移动,回家
899,一名住在对面楼房5楼的住户说,声明,说
900,对面楼501房冒黑烟,动作,冒
901,一对母女站阳台,动作,站
902,大院当晚值班看门的何先生称,声明,称
903,501房冒烟,动作,冒烟
904,很快消防队员破门而入,动作,破门而入
905,将房间中的两母女救出,操作,救出
906,接着她们送去医院,移动,送去
907,3时30分险情排除,操作,排除
908,民警与消防队员搜索,操作,搜索
909,两位老人丧生,状态变化,丧生
910,2013年12月29日早上8点41分南宁消防报警,动作,报警
911,圆湖路艺术学校火灾,紧急情况,火灾
912,指挥中心调派特勤、朝阳两个中队9辆消防车50名官兵,操作,调派
913,"临近期末年底,各大院校节庆活动较多,在节目排练和道具选择上一定要注意防火安全",动作,注意
914,2009年8月8日下午滨州一正在装修的格林豪泰酒店火灾,紧急情况,火灾
915,齐鲁电视台独家栏目组奔赴滨州,移动,奔赴
916,到目前为止大火扑灭,状态变化,扑灭
917,在火灾后的新闻发布会上我们了解,感知,了解
918,滨州消防支队出动25辆消防车120多名消防官兵,动作,出动
919,疏散群众33名,操作,疏散
920,救出被困人员2名,操作,救出
921,并没有造成人员伤亡,状态变化,伤亡
922,起火原因目前调查,操作,调查
923,本报讯据北京市公安局官方微博“平安北京”消息,声明,消息
924,昨日凌晨2时警方小武基村火灾现场找到一名遇难群众,操作,找到
925,截至目前火灾,紧急情况,火灾
926,11月19日20时30分北京市朝阳区小武基村一库房着火,紧急情况,着火
927,"接报警后,北京市公安局调集13个消防中队",操作,调集
928,54辆消防车赶赴现场,移动,赶赴
929,"目前,4名受伤人员正在医院救治,警方两名出租房主控制",操作,控制
930,起火原因调查,操作,调查
931,8月4日上午10时30分左右虹口区赤峰路上一居民家中的厨房起火,操作,起火
932,火焰夹着浓烟,动作,夹着
933,3平米左右的厨房烧毁,状态变化,烧毁
934,新民网记者了解,感知,了解
935,火灾波及隔壁的卧室,动作,波及
936,卧室挂式空调烧坏,状态变化,烧坏
937,火灾幸未造成人员伤亡,状态变化,伤亡
938,新民网记者12时40分赶到火灾现场,移动,赶到
939,不过在小区门口闻到烧焦味,感知,闻到
940,楼房外看到水流,感知,看到
941,据这家女主人沈女士称,动作,称
942,记者户主家中看到,感知,看到
943,一股浓烈的焦臭味飘来,移动,飘来
944,自家的空调着火,紧急情况,着火
945,楼下厨房起火,紧急情况,起火
946,窗户附近着火,紧急情况,着火
947,正在向四周蔓延,状态变化,蔓延
948,住在事发地点楼上的一位居民回忆,声明,回忆
949,该居民报火警,动作,报
950,据附近居民刘先生称,声明,称
951,上午11时许两辆救火车赶到事发现场,移动,赶到
952,至上午11点30分左右火势控制,操作,控制
953,所幸火灾中人员伤亡,状态变化,伤亡
954,益阳市大通湖区金北顺造纸厂芦苇堆场火灾,紧急情况,火灾
955,堆场存放大型芦苇堆垛18个,操作,存放
956,益阳、岳阳、常德3地消防官兵16个小时大火扑灭,状态变化,扑灭
957,当晚7时50分消防大队金北顺造纸有限公司报警,操作,报警
958,厂区内芦苇堆垛火灾,紧急情况,火灾
959,大队出动消防车6名官兵,操作,出动
960,由于芦苇堆垛上的芦苇晒干,状态变化,晒干
961,消防水枪现场火势控制,操作,控制
962,大火两个堆垛蔓延5个堆垛,移动,蔓延
963,全体参战人员扑救,操作,扑救
964,到29日凌晨3时火势控制,操作,控制
965,上午10时大火扑灭,状态变化,扑灭
966,消防人员余火清理,操作,余火清理
967,到中午12时余火扑灭,状态变化,扑灭
968,周边堆垛1万多吨价值近千万元的芦苇保住,操作,保住
969,经消防部门查明,操作,查明
970,该厂员工转运芦苇,移动,转运
971,目前2名违规操作的工人警方控制,操作,控制
972,中新网4月14日电,声明,电
973,据台湾“中央社”报道,声明,报道
974,台湾彰化县员林镇一间面包店今天清晨火警,紧急情况,火警
975,警察确认5人身分,操作,确认
976,彰化县消防局今天早上7时左右接获报案,感知,接获
977,彰化县员林镇中山路一段一处民宅火警,紧急情况,火警
978,消防车前往现场,移动,前往
979,失火一间面包店,紧急情况,失火
980,店内死者身份确认,操作,确认
981,昨天早上武昌雄楚大道小何村一条小吃街内火灾,紧急情况,火灾
982,与自家相邻不远的熟食铺里冒出浓烟,动作,冒出
983,起火店铺卷闸门开启,动作,开启
984,附近商户扑救,操作,扑救
985,几个煤气罐抢出,动作,抢出
986,消防官兵赶到,移动,赶到
987,火灾原因调查,操作,调查
988,中国警察网讯,声明,讯
989,4月29日20时21分广西贵港市西江农场一涂料厂溶剂油罐火灾,紧急情况,火灾
990,四周厂房房屋威胁,操作,威胁
991,贵港市消防支队指挥中心接警,感知,接警
992,迅速调集11辆消防车62名官兵,操作,调集
993,21时50分大火扑灭,操作,扑灭
994,未造成人员伤亡,紧急情况,伤亡
995,昨晨6点过合川区柏树街78号居民楼下临街抄手店大火,紧急情况,大火
996,浓烟直冲楼上,移动,直冲
997,57户居民惊醒,状态变化,惊醒
998,不少人吸入大量烟雾,动作,吸入
999,上午11点过记者赶到事发现场,移动,赶到
1000,站在距离出事门面10米远处闻到焦糊气味,感知,闻到
1001,出事门面叫做吕氏鸡肉抄手店当时关门歇业,状态变化,关门歇业
1002,门上贴致歉告示,动作,贴
1003,合阳城街道办事处安监办王先生介绍,声明,介绍
1004,工作人员赶到现场,移动,赶到
1005,出事时厨师炒制咸菜,操作,炒制
1006,同时高队长证实,声明,证实
1007,吕氏抄手店处理,操作,处理
1008,合川消防支队和当地警方调查,操作,调查
1009,人民网南京4月19日电,声明,电
1010,今日10时20分左右中环国际大厦空调外机井着火,动作,着火
1011,11时42分明火扑灭,状态变化,扑灭
1012,南京市政府办公厅说,声明,说
1013,南京市消防支队市公安局110指挥中心传警,操作,传警
1014,先后调集鼓楼、侯家桥等10个消防中队和战勤保障大队37辆消防车194名消防官兵,操作,调集
1015,救援力量到场,移动,到场
1016,"在现场指挥部的指挥下,立即展开火情侦察",感知,侦察
1017,同时组织16个作战小组,操作,组织
1018,疏散被困人员,操作,疏散
1019,利用内部消火栓灭火,状态变化,灭火
1020,11时20分火势控制,操作,控制
1021,南京市政府秘书长魏克、江苏省公安厅副厅长王琦、江苏省消防总队总队长牛跃光赶到现场,移动,赶到
1022,消防官兵建筑内疏散被困人员约400人,操作,疏散
1023,火灾中无人员伤亡,状态变化,伤亡
1024,目前火灾原因财产损失调查,操作,调查
1025,新华网莫斯科3月31日电,声明,电
1026,俄罗斯西伯利亚西部秋明州一座私人住宅3月31日天然气罐爆炸,紧急情况,爆炸
1027,据国际文传电讯社报道,声明,报道
1028,秋明州卡斯马卡瓦村一幢单层小木屋31日凌晨火灾,紧急情况,火灾
1029,在烧毁房屋中发现7具尸体,感知,发现
1030,2名女性受伤,状态变化,受伤
1031,3个天然气罐爆炸,紧急情况,爆炸
1032,武汉2月5日电,声明,电
1033,湖北武汉汉正街一塑料玩具和工艺品市场5日大火,紧急情况,大火
1034,目前10人受伤,状态变化,受伤
1035,火灾上午9时50分左右,紧急情况,火灾
1036,当地消防部门说,声明,说
1037,消防部门组织79辆防消车公安、消防官兵800多名,操作,组织
1038,迅速赶赴现场,移动,赶赴
1039,到12时左右明火扑灭,状态变化,扑灭
1040,记者在现场看到,感知,看到
1041,"起火现场一直浓烟滚滚,弥漫烧焦塑料味",动作,弥漫
1042,到18时消防人员向楼内喷水,动作,喷水
1043,"湖北省委、省政府,武汉市委、市政府负责人高度重视,省委书记罗清泉李鸿忠杨松阮成指示",操作,指示
1044,积极疏散群众,操作,疏散
1045,消防官兵疏散300多人,操作,疏散
1046,已知有10名伤者送到武汉市第一医院,移动,送到
1047,记者医院了解,感知,了解
1048,在西班牙、法国、希腊、及意大利南部“萨丁尼亚岛”山林火灾,紧急情况,山林火灾
1049,至少造成八人死亡,状态变化,死亡
1050,西班牙过去的四天里六名消防人员殉职,状态变化,殉职
1051,另外在意大利的“萨丁尼亚岛”两人丧生,状态变化,丧生
1052,"1月15日,《俄罗斯报》称",声明,称
1053,位于北半球澳大利亚处于炎热的夏季,移动,处于
1054,"而近日也到了高温酷暑的时候,当地时间1月14日晚澳大利亚南部火灾",紧急情况,火灾
1055,澳大利亚南部火灾,紧急情况,火灾
1056,"火灾发生后,救援人员展开救灾行动",操作,展开
1057,新华报业网讯,声明,讯
1058,昨晚南京长江大桥回龙桥一桥洞失火,紧急情况,失火
1059,火灾1个多小时,紧急情况,火灾
1060,最后两名消防队员绳子系腰上,动作,系
1061,从桥面上空降半空,移动,降
1062,花了近半个小时火扑灭,状态变化,扑灭
1063,"失火南京长江大桥回龙桥上桥口,金川河的出江口处",紧急情况,失火
1064,记者距离150米远的地方观看,感知,观看
1065,消防人员赶到桥面,移动,赶到
1066,不久记者看到一幕,感知,看到
1067,两名消防人员腰间系绳子,动作,系
1068,从桥面上空降桥洞前方,移动,空降
1069,然后用水枪灭火,操作,灭火
1070,记者听“噼里啪啦”声,感知,听
1071,大约半小时后火扑灭,状态变化,扑灭
1072,中新网昆明4月16日电,声明,电
1073,16日下午昆明市西山区棋台山森林火灾,紧急情况,森林火灾
1074,当日16时许昆明市城区西边浓烟,紧急情况,浓烟
1075,西山区团结镇棋台社区棋台山森林火灾,紧急情况,森林火灾
1076,森林消防人员赶赴火场,移动,赶赴
1077,四川在线宜宾频道消息,声明,消息
1078,今(30)日上午宜宾城区一大厦火灾,紧急情况,火灾
1079,目前火势控制,操作,控制
1080,上午10时56分城区真武路树刚大厦火灾,紧急情况,火灾
1081,有施工人员被困,状态变化,被困
1082,宜宾市公安消防支队调动消防官兵,操作,调动
1083,组织2个搜救组,操作,组织
1084,11时33分火势控制,操作,控制
1085,被困人员救出,操作,救出
1086,现场目击者称,声明,称
1087,大厦风貌整治外墙装饰“材料”,操作,整治
1088,2013年11月04日上午11时珠海南屏北山东桥工业区附件的旧工厂大厦大火,紧急情况,大火
1089,多名工人被困楼顶,操作,被困
1090,事发后消防官兵赶到现场,移动,赶到
1091,具体起火原因调查,操作,调查
1092,"起火的原因可能是由于近期天气比较干燥,工厂里面防火设备更新",操作,更新
1093,而且楼年久失修,操作,年久失修
1094,洪都拉斯首都特古西加尔巴市中心一个市场30日大火,紧急情况,大火
1095,火势蔓延附近的商业区和银行区,动作,蔓延
1096,当地时间清晨5点30分左右位于洪首都特古西加尔巴市中心位置的科隆市场起火,动作,起火
1097,火势蔓延附近一家以经营服装为主的街道,动作,蔓延
1098,影响银行学校,状态变化,影响
1099,历史悠久的克隆市场毁火灾,状态变化,毁
1100,火灾现场附近的数十条街区笼罩浓烟,动作,笼罩
1101,洪首都消防总队发言人奥斯卡新华社记者采访,操作,采访
1102,他们出动18辆消防车250名消防员,操作,出动
1103,暂时还未探明起火原因,操作,探明
1104,为防止激进分子,操作,防止
1105,洪警方派遣大量警力,操作,派遣
1106,开始调查原因,操作,调查
1107,昨日上午9时50分左右麻涌镇南洲村东莞市港航船舶清污有限公司火灾,紧急情况,火灾
1108,12时40分许火势扑灭,状态变化,扑灭
1109,消防部门出动17辆消防车,操作,出动
1110,目前原因调查,操作,调查
1111,目击者吴先生称,声明,称
1112,在上午10时45分左右第2个油罐引燃,动作,引燃
1113,在11时30分左右爆炸,紧急情况,爆炸
1114,经过近3小时扑救,操作,扑救
1115,消防人员12时40分左右火势扑灭,状态变化,扑灭
1116,消防大队火灾事故现场洒水,动作,洒水
1117,2008年4月5日上午10时吉尔吉斯斯坦比什凯克市中国商人集中的中海市场大火,紧急情况,大火
1118,至下午2时火场明火扑灭,状态变化,扑灭
1119,市场售货大楼内部设施商品烧毁,状态变化,烧毁
1120,大楼主体结构受损,状态变化,受损
1121,所幸无人员伤亡,状态变化,伤亡
1122,中国驻吉使馆启动应急机制,操作,启动
1123,张延年亲赴现场,移动,亲赴
1124,张大使慰问中国商户,操作,慰问
1125,将会尽力协助商户,操作,协助
1126,目前火灾原因调查,操作,调查
1127,多名网友爆料,声明,爆料
1128,6日凌晨丽江束河古镇火灾,紧急情况,火灾
1129,起火四方街往完小方向,状态变化,起火
1130,凌晨4点20发现火情,感知,发现
1131,6点多完全控制,操作,完全控制
1132,昨天清晨6时许面包车行驶京承高速进京方向,移动,行驶
1133,司机和副驾驶逃生,动作,逃生
1134,10名木工烧伤,状态变化,烧伤
1135,其中一人死亡,状态变化,死亡
1136,司机警方带走,动作,带走
1137,昨天清晨7时40分左右记者赶到事发现场――京承高速进京方向城铁望京西站,移动,赶到
1138,此时现场清理,操作,清理
1139,但路边的护栏撞,动作,撞
1140,据一位城铁站内的工作人员介绍,声明,介绍
1141,清晨6时左右一辆面包车大火,紧急情况,大火
1142,离面包车不远处几个人坐,动作,坐
1143,奥林匹克公园消防中队赶到现场,移动,赶到
1144,不到10分钟火扑灭,操作,扑灭
1145,999急救人员伤员救护,操作,救护
1146,城铁站里的保安和周围一些好心人伤者抬担架,动作,抬
1147,大概7点10分左右面包车拖走,动作,拖走
1148,记者前往北京军区总医院东院,移动,前往
1149,烧伤整形科朱主任说,声明,说
1150,送到该院有9名伤者,移动,送到
1151,4位重伤员送往重症监护室,移动,送往
1152,而送到积水潭医院的另外一名伤者死亡,状态变化,死亡
1153,新华网索非亚3月5日电,声明,电
1154,保加利亚首都索非亚华商较集中的伊连齐商城一个销售厅5日清晨火灾,紧急情况,火灾
1155,目前没有人员报道,声明,报道
1156,据保加利亚中国商会副会长陈建军介绍,声明,介绍
1157,大火当地时间8时左右发现,感知,发现
1158,当时许多商户来到市场,移动,来到
1159,截至当地时间12时大火扑灭,状态变化,扑灭
1160,市场周边交通管制解除,状态变化,解除
1161,整个市场停业,状态变化,停业
1162,华商的损失情况统计,操作,统计
1163,但据一位来自浙江的受灾商户介绍,声明,介绍
1164,仅他一家在销售厅内存放货物,动作,存放
1165,据索非亚消防部门负责人伊万・伊利耶夫介绍,声明,介绍
1166,尽管消防部门派3辆消防车,操作,派
1167,市场内供水系统出现问题,感知,出现
1168,不得不增派更多消防车,操作,增派
1169,并不断从附近接水,动作,接
1170,目前清楚人员伤亡情况,感知,清楚
1171,消防部门配合警方,操作,配合
1172,对火灾原因调查,操作,调查
1173,政务参赞陈岚、商务参赞陆永明等使馆人员赶赴现场,移动,赶赴
1174,协助组织灭火,操作,协助
1175,安排善后工作,操作,安排
1176,昨天凌晨1时40分许长深高速灌南服务区往南1758公里附近一辆满载17吨的袋装塑料颗粒的大货车轮胎起火,紧急情况,起火
1177,两个灭火器喷完了仍无法将大火扑灭,动作,扑灭
1178,灌南县消防中队官兵接到报警,感知,接到
1179,保住车上货物,操作,保住
1180,兰坪拉古村委会“12・2”大火目前扑灭,状态变化,扑灭
1181,受灾农户安置工作开展,操作,开展
1182,受灾群众吃、穿、住保障,操作,保障
1183,2日18时25分怒江傈僳族自治州兰坪白族普米族自治县营盘镇拉古村委会三组和四组交界处火灾,紧急情况,火灾
1184,72户280间房屋烧毁,紧急情况,烧毁
1185,370余人受灾,紧急情况,受灾
1186,"火灾发生后,怒江州、兰坪县启动应急预案",动作,启动
1187,成立事故处置领导小组,操作,成立
1188,紧急下拨救灾应急资金和物资,操作,下拨
1189,迅速组织人员,操作,组织
1190,开展善后处置工作,操作,开展
1191,昨日(12月6日)凌晨1时许衡水市区红旗大街干马桥南约200米路东一门店、居住、库房“三合一”的商住楼火灾,紧急情况,火灾
1192,店内货物付之一炬,状态变化,付之一炬
1193,女主人和两岁的孩子遇难,状态变化,遇难
1194,衡水市当天召开会议,操作,召开
1195,强调在“三合一”、“多合一”场所开展火灾隐患排查整治工作,操作,开展
1196,台海网8月8日讯,声明,讯
1197,6日11时30分许福州城门胪厦工业区内一棉花厂火灾,紧急情况,火灾
1198,上千平方米的仓库成为火海,状态变化,成为火海
1199,消防接到报警,动作,接到
1200,共调6个中队23部消防车,操作,调
1201,一百多名消防官兵赶赴火灾现场,移动,赶赴
1202,在经过了5个小时的扑救后大火扑灭,状态变化,扑灭
1203,昨日凌晨记者赶到现场,移动,赶到
1204,在数百米外看到远处腾起的滚滚浓烟,感知,看到
1205,红色的火光照红城门大半边天,操作,照红
1206,着火的制鞋厂四楼仓库成火海,状态变化,成火海
1207,记者跟随消防人员,动作,跟随
1208,登上距离火场50米外的一厂房楼顶,动作,登上
1209,滚烫的热气迎面扑来,动作,迎面扑来
1210,目击者陈先生说,声明,说
1211,不久大火蹿制鞋厂的四楼仓库,动作,蹿
1212,消防队员告诉记者,声明,告诉
1213,现场指挥部调集大型水罐车,操作,调集
1214,周边工厂工人和群众拿水带,动作,拿
1215,协助消防官兵,操作,协助
1216,直到昨日凌晨4点40分左右大火扑灭,状态变化,扑灭
1217,所幸火灾没有造成人员伤亡,状态变化,伤亡
1218,东北网5月1日讯,声明,讯
1219,4月27日13时12分我省沾河林业局施业区伊南河林场草甸森林火灾,紧急情况,草甸森林火灾
1220,由于火灾林区腹地,紧急情况,火灾
1221,虽经全体扑火指战员扑救,操作,扑救
1222,火场现在投入兵力7530人大型机械30余台,操作,投入
1223,转移群众3100人,移动,转移
1224,"省委书记吉炳轩、省长栗战书、副省长吕维峰、孙永波孙扎根,国家森防指专家组组长马福森警总队指挥部主任王佐明,副主任李全海亲临火灾前线",移动,亲临
1225,欧洲地中海沿岸5国意大利、西班牙、法国、希腊和克罗地亚近期山林火灾,紧急情况,山林火灾
1226,目前财产损失,状态变化,损失
1227,总部设在罗马的联合国粮农组织27日呼吁,声明,呼吁
1228,各国早期预警及监控机制建立,操作,建立
1229,近期意大利、西班牙、法国、希腊和克罗地亚等地中海沿岸国家山林大火,紧急情况,山林大火
1230,目前8人死亡,状态变化,死亡
1231,数万公顷农田烧毁,状态变化,烧毁
1232,在意大利撒丁岛火灾24日开始蔓延至今,紧急情况,火灾
1233,超过2.5万公顷田地烧毁,状态变化,烧毁
1234,已有2人丧生,状态变化,丧生
1235,数十名游客疏散,操作,疏散
1236,在西班牙官方估计,感知,估计
1237,大约2万公顷农田烧毁,状态变化,烧毁
1238,6名消防队员牺牲,状态变化,牺牲
1239,不仅科西嘉岛上火灾,紧急情况,火灾
1240,马赛附近大火逼近,移动,逼近
1241,"在希腊,大火主要集中在南部26日出现火情",状态变化,出现
1242,希腊政府发布火灾警告,操作,发布
1243,"而在克罗地亚,契奥沃岛上26日大火",紧急情况,大火
1244,超过200公顷林地烧毁,状态变化,烧毁
1245,东方网记者刘歆4月9日报道,声明,报道
1246,上海市消防局官方微博消息,声明,消息
1247,今天中午11时14分上海市应急联动中心接警,操作,接警
1248,位于长兴岛的江南造船厂3号船坞一在建的八万吨级货轮火灾,紧急情况,火灾
1249,燃烧保温材料,状态变化,燃烧
1250,消防部门调集数十辆消防车,操作,调集
1251,目前人员被困,状态变化,被困
1252,"下午2点左右,大火被控制",状态变化,被控制
1253,中国网4月15日讯,声明,讯
1254,据福建泉州消防消息,声明,消息
1255,昨日20时40分泉州市晋江市安海镇星塔村书展公园附近一大面积草地火灾,紧急情况,火灾
1256,大火风势四周蔓延,移动,蔓延
1257,靠近火场不到百米一座村庄数十栋居民房岌岌可危,状态变化,岌岌可危
1258,晋江消防大队安海中队接到报警,感知,接到
1259,迅速赶到现场,移动,赶到
1260,联合安海镇政府工作人员、公安部门、行政执法附近居民大火扑灭,操作,扑灭
1261,及时制止火势蔓延,操作,制止
1262,数十栋居民楼保全,状态变化,保全
1263,20时46分消防官兵赶到火场附近,移动,赶到
1264,火势风势毗邻的村庄方向蔓延,移动,蔓延
1265,救援面临极大的难度,感知,面临
1266,全体官兵携铁扫铁锹,动作,携
1267,利用树枝泥土接近村庄的方向扑救,操作,扑救
1268,首先控制火势,操作,控制
1269,公安民警、附近居民工具树枝扑救,操作,扑救
1270,安海镇政府工作人员、行政执法部门赶到,移动,赶到
1271,22时许火势控制,操作,控制
1272,救援人员现场余火清理,操作,清理
1273,一座信号塔部分电线烧损,状态变化,烧损
1274,火灾未造成人员伤亡,状态变化,伤亡
1275,具体火灾原因调查,操作,调查
1276,新华网福州长乐2月1日电,声明,电
1277,1月31日晚福建省长乐市拉丁酒吧火灾,紧急情况,火灾
1278,共造成17人死亡,状态变化,死亡
1279,当晚11时30分左右长乐市拉丁酒吧10名左右男女青年聚会,操作,聚会
1280,在桌面上燃放烟花,操作,燃放
1281,福建省和福州市领导重视,状态变化,重视
1282,有关领导赶到现场,移动,赶到
1283,指挥善后处置工作,操作,指挥
1284,长乐市组织公安、消防、安监、民政、卫生及吴航街道等单位,操作,组织
1285,开展现场抢险工作,操作,开展
1286,火灾2月1日零点20分左右扑灭,状态变化,扑灭
1287,现场陆续救35名人员,操作,救
1288,其中15名抢救,操作,抢救
1289,事故发生后长乐市委、市政府成立现场紧急处置领导小组,操作,成立
1290,由书记、市长担任正副组长,操作,担任
1291,东方网7月27日消息,声明,消息
1292,昨日上午8时15分1043次旅客列车运行中国最长的铁路隧道――兰新线乌鞘岭隧道左线,移动,运行
1293,经铁路、消防处置,操作,处置
1294,千余旅客逃生,动作,逃生
1295,事故原因调查,操作,调查
1296,乘客隧道脱险,操作,脱险
1297,铁路部门清点,动作,清点
1298,对部分距离目的地不远的乘客班车回家,移动,回家
1299,大部分乘客机车抵达,移动,抵达
1300,被安全带离现场,移动,带离
1301,当日中午12时14分许新机车牵引,操作,牵引
1302,1043次旅客列车龙沟车站开出,移动,开出
1303,运输秩序正常,状态变化,正常
1304,目前机车起火具体原因调查,操作,调查
1305,昨日上午汕头市潮阳区谷饶镇上堡居委会五片张培雄家庭作坊火灾,紧急情况,火灾
1306,该家庭作坊生产耳机内衣,操作,生产
1307,13名女工毒烟熏死,状态变化,熏死
1308,其中3人重伤,状态变化,重伤
1309,作坊老板张培雄拘留,操作,拘留
1310,昨日7时26分汕头市公安局110指挥中心报警,操作,报警
1311,汕头市公安消防支队调集13台消防车154名消防队员,操作,调集
1312,并调集5支专职消防队9台消防车到现场,操作,调集
1313,谷饶当地的专职消防队和义务消防队7时40分到达现场,移动,到达
1314,潮阳消防中队到达现场,移动,到达
1315,火灾10时05分扑灭,状态变化,扑灭
1316,现场抢救28名被困人员,操作,抢救
1317,其中13人死亡,状态变化,死亡
1318,伤者送往市区3家医院,移动,送往
1319,火灾原因财产损失调查,操作,调查
1320,4月15日上午十点左右闹市区的一栋老式别墅火灾,紧急情况,火灾
1321,一名60岁的妇女逃生,操作,逃生
1322,腿部眼睛受伤,状态变化,受伤
1323,多位热心市民援手相助,操作,援手相助
1324,起火小区内一栋老式洋房的三楼,紧急情况,起火
1325,现场浓烟滚滚,紧急情况,浓烟滚滚
1326,楼内居民报警,操作,报警
1327,电器使用不当,操作,使用不当
1328,5月4日上午十点多合肥小庙镇周章村一农户家中大火,紧急情况,大火
1329,在周边邻居火扑灭,操作,扑灭
1330,农户家损失两万元钱,状态变化,损失
1331,经辖区消防部门认定,声明,认定
1332,张师傅家失火,紧急情况,失火
1333,中新社汕头五月二十一日电,声明,电
1334,二十一日上午汕头市潮阳区谷饶镇一家庭作坊大火,紧急情况,大火
1335,事故共造成十三人死亡,状态变化,死亡
1336,记者现场采访,操作,采访
1337,在一楼火灾事故现场记者看到,感知,看到
1338,今天上午七时二十六分汕头市公安局110指挥中心接到报警,动作,接到
1339,称谷饶镇上堡居委会张培雄家庭作坊火灾,紧急情况,火灾
1340,汕头市公安消防支队调集十三部消防车一百五十四名消防官员,操作,调集
1341,并调集潮阳、潮南区五支专职队九台消防车,操作,调集
1342,谷饶当地的专职消防队和义务消防队七时四十分到达现场,移动,到达
1343,火灾九时控制,操作,控制
1344,十时零五分扑灭,状态变化,扑灭
1345,消防官兵救二十八名被困人员,操作,救
1346,目前伤者送往汕头市区三家医院,移动,送往
1347,火灾事故原因和直接财产损失调查统计,操作,调查统计
1348,29日下午4时许八里街第三工业园区里的一间塑料厂成品仓库火灾,紧急情况,火灾
1349,大量塑料编织袋起火,紧急情况,起火
1350,冒起滚滚浓烟,动作,冒起
1351,消防、民警赶到,移动,赶到
1352,一边疏散群众,操作,疏散
1353,到当晚9时许火势控制,操作,控制
1354,所幸大火未造成人员伤亡,状态变化,伤亡
1355,截至30日晚记者发稿时起火原因调查,操作,调查
1356,昨日记者安康市森林公安局汉滨分局获悉,感知,获悉
1357,近日安康天气转暖,状态变化,转暖
1358,安康境内火灾,紧急情况,火灾
1359,多数为村民使用明火,动作,使用
1360,据安康市森林公安局汉滨分局值班人员介绍,声明,介绍
1361,3月26日傍晚6时左右恒口镇长行村山火,紧急情况,山火
1362,起火原因推断,感知,推断
1363,接警后森林消防及当地村民赶赴现场,动作,赶赴
1364,27日众人上山,动作,上山
1365,于当晚9时左右明火扑灭,状态变化,扑灭
1366,3月27日下午2时左右多位群众途经包茂高速安康西服务区,移动,途经
1367,附近山体火灾,紧急情况,火灾
1368,几小时后火灾扑灭,状态变化,扑灭
1369,起火原因推测,感知,推测
1370,附近某村民上坡烧荒,动作,烧
1371,另外27日傍晚6时左右安康市城区大风,紧急情况,大风
1372,香溪洞景区内高压线路碰撞,移动,碰撞
1373,附近山体植被起火,紧急情况,起火
1374,经消防人员扑救,操作,扑救
1375,于27日晚11时左右明火扑灭,状态变化,扑灭
1376,均未造成人员伤亡,状态变化,伤亡
1377,2014年1月7日广州番禺市桥街兴泰路商铺火灾,紧急情况,火灾
1378,一名27岁的从化女子烧死,紧急情况,烧死
1379,广州番禺警方(1月8日)媒体通报,声明,通报
1380,1月7日晚21时40分警方群众报警,操作,报警
1381,市桥街兴泰路商铺冒出浓烟,移动,冒出
1382,"接报后,番禺警方指令派出所、消防部门",操作,指令
1383,120急救人员救援,操作,救援
1384,昨日15时许位于仙台大街与湛江路交会处的吉林省食品药品检验所火灾,紧急情况,火灾
1385,十多辆消防车赶到现场,移动,赶到
1386,据现场附近围观群众称,声明,称
1387,事故在15时15分,紧急情况,事故
1388,当时滚滚浓烟冒出,动作,冒出
1389,15时40分记者到达现场,移动,到达
1390,消防人员建筑内部施救,操作,施救
1391,16时许大火扑灭,状态变化,扑灭
1392,目前起火原因调查,操作,调查
1393,中新网东莞3月30日电,声明,电
1394,广东东莞万江区一纸品仓库30日早上火灾,紧急情况,火灾
1395,截至记者发稿时明火扑灭,状态变化,扑灭
1396,据万江消防介绍,声明,介绍
1397,3月30日07时27分万江大队值班室接到报警,动作,接到
1398,位于万江区新村卢屋工业区的东莞市铭丰包装品制造有限公司仓库火灾,紧急情况,火灾
1399,"指挥中心调派万江专职消防队4台消防车,28名指战员",操作,调派
1400,起火仓库的铁皮屋顶坍塌,动作,坍塌
1401,消防员火场注水,动作,注水
1402,据万江消防透露,声明,透露
1403,目前明火扑灭,状态变化,扑灭
1404,2014年1月2日14时许城关区泰生大厦第30层火灾,紧急情况,火灾
1405,"事故发生后,市政府袁占亭市长、胥波副市长、咸大明副市长赶赴事故现场",移动,赶赴
1406,指导灭火救援工作,操作,指导
1407,袁占亭市长召开事故现场会,动作,召开
1408,城关区政府主要领导及相关部门负责同志参加会议,动作,参加
1409,袁占亭市长作了以下要求:,操作,作了
1410,"第一,及时疏散楼内人员",操作,疏散
1411,确保人员安全,操作,确保
1412,"第二,立即对楼层内的辅助设施检查",操作,检查
1413,防止次生事故,操作,防止
1414,"第三,市政府成立事故调查组",操作,成立
1415,依法依规开展事故调查,操作,调查
1416,严肃追究相关人员责任,操作,追究
1417,"第四,尽快召开新闻发布会",操作,召开
1418,及时向社会通报调查进展,声明,通报
1419,"第五,立即在全市范围内开展人员密集场所和公共聚集场所消防安全大检查",操作,开展
1420,整治各类事故隐患,操作,整治
1421,确保安全稳定,操作,确保
